name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_1/MTCount/400/10/1/10000/100000000/10/iterations:5/manual_time",5,47.6142,0.323802,ms,,,,,,-1,-1,-1,-1,-1,5056,4.0448,-1,-1,47.6142,0,0.499968,-1,0,5056,-1
"Xor_Nonpart_Scalar_1/MTCount/500/10/1/10000/100000000/10/iterations:5/manual_time",5,41.1646,0.31133,ms,,,,,,-1,-1,-1,-1,-1,6272,5.0176,-1,-1,41.1646,0,0.500057,-1,0,6272,-1
"Xor_Nonpart_Scalar_1/MTCount/600/10/1/10000/100000000/10/iterations:5/manual_time",5,41.0073,0.272394,ms,,,,,,-1,-1,-1,-1,-1,7552,6.0416,-1,-1,41.0073,0,0.500023,-1,0,7552,-1
"Xor_Nonpart_Scalar_1/MTCount/700/10/1/10000/100000000/10/iterations:5/manual_time",5,40.9765,0.290244,ms,,,,,,-1,-1,-1,-1,-1,8768,7.0144,-1,-1,40.9765,0,0.500097,-1,0,8768,-1
"Xor_Nonpart_Scalar_1/MTCount/800/10/1/10000/100000000/10/iterations:5/manual_time",5,40.9801,0.2518,ms,,,,,,-1,-1,-1,-1,-1,10048,8.0384,-1,-1,40.9801,0,0.500053,-1,0,10048,-1
"Xor_Nonpart_Scalar_1/MTCount/900/10/1/10000/100000000/10/iterations:5/manual_time",5,41.664,0.326718,ms,,,,,,-1,-1,-1,-1,-1,11264,9.0112,-1,-1,41.664,0,0.50005,-1,0,11264,-1
"Xor_Nonpart_Scalar_1/MTCount/1000/10/1/10000/100000000/10/iterations:5/manual_time",5,40.9306,0.288222,ms,,,,,,-1,-1,-1,-1,-1,12544,10.0352,-1,-1,40.9306,0,0.500056,-1,0,12544,-1
"Xor_Nonpart_Scalar_1/MTCount/1100/10/1/10000/100000000/10/iterations:5/manual_time",5,41.6002,0.32761,ms,,,,,,-1,-1,-1,-1,-1,13760,11.008,-1,-1,41.6002,0,0.500019,-1,0,13760,-1
"Xor_Nonpart_Scalar_1/MTCount/1200/10/1/10000/100000000/10/iterations:5/manual_time",5,40.7687,0.283444,ms,,,,,,-1,-1,-1,-1,-1,15040,12.032,-1,-1,40.7687,0,0.500001,-1,0,15040,-1
"Xor_Nonpart_Scalar_1/MTCount/1300/10/1/10000/100000000/10/iterations:5/manual_time",5,41.7288,0.320424,ms,,,,,,-1,-1,-1,-1,-1,16256,13.0048,-1,-1,41.7288,0,0.500056,-1,0,16256,-1
"Xor_Nonpart_Scalar_1/MTCount/1400/10/1/10000/100000000/10/iterations:5/manual_time",5,40.6674,0.28059,ms,,,,,,-1,-1,-1,-1,-1,17536,14.0288,-1,-1,40.6674,0,0.500068,-1,0,17536,-1
"Xor_Nonpart_Scalar_1/MTCount/1500/10/1/10000/100000000/10/iterations:5/manual_time",5,41.7254,0.301288,ms,,,,,,-1,-1,-1,-1,-1,18752,15.0016,-1,-1,41.7254,0,0.500034,-1,0,18752,-1
"Xor_Nonpart_Scalar_1/MTCount/1600/10/1/10000/100000000/10/iterations:5/manual_time",5,40.8686,0.294528,ms,,,,,,-1,-1,-1,-1,-1,20032,16.0256,-1,-1,40.8686,0,0.500019,-1,0,20032,-1
